   330000   3.5824E+00  3.0992E-03  3.5855E+00
   360000   3.4390E+00  2.8833E-03  3.4418E+00
   400000   3.2678E+00  2.6411E-03  3.2704E+00
   450000   3.0802E+00  2.3935E-03  3.0826E+00
   500000   2.9162E+00  2.1911E-03  2.9184E+00
   550000   2.7713E+00  2.0223E-03  2.7733E+00
   600000   2.6421E+00  1.8792E-03  2.6439E+00
   650000   2.5259E+00  1.7562E-03  2.5277E+00
   700000   2.4209E+00  1.6494E-03  2.4225E+00
   800000   2.2378E+00  1.4724E-03  2.2393E+00
   900000   2.0835E+00  1.3318E-03  2.0848E+00
  1000000   1.9513E+00  1.2171E-03  1.9525E+00
  1100000   1.8366E+00  1.1216E-03  1.8378E+00
  1200000   1.7361E+00  1.0409E-03  1.7371E+00
  1300000   1.6471E+00  9.7159E-04  1.6481E+00
  1400000   1.5678E+00  9.1147E-04  1.5687E+00
  1500000   1.4966E+00  8.5877E-04  1.4974E+00
  1600000   1.4322E+00  8.1217E-04  1.4330E+00
  1700000   1.3737E+00  7.7064E-04  1.3745E+00
  1800000   1.3203E+00  7.3340E-04  1.3211E+00
  2000000   1.2263E+00  6.6929E-04  1.2270E+00
  2200000   1.1460E+00  6.1604E-04  1.1467E+00
  2400000   1.0766E+00  5.7106E-04  1.0772E+00
  2600000   1.0160E+00  5.3253E-04  1.0165E+00
  2800000   9.6246E-01  4.9913E-04  9.6296E-01
  3000000   9.1484E-01  4.6989E-04  9.1531E-01
  3300000   8.5246E-01  4.3223E-04  8.5289E-01
  3600000   7.9882E-01  4.0045E-04  7.9922E-01
  4000000   7.3792E-01  3.6502E-04  7.3829E-01
  4500000   6.7482E-01  3.2905E-04  6.7515E-01
  5000000   6.2258E-01  2.9984E-04  6.2288E-01
  5500000   5.7855E-01  2.7562E-04  5.7883E-01
  6000000   5.4088E-01  2.5520E-04  5.4114E-01
  6500000   5.0825E-01  2.3772E-04  5.0849E-01
  7000000   4.7969E-01  2.2260E-04  4.7991E-01
  8000000   4.3197E-01  1.9770E-04  4.3217E-01
  9000000   3.9363E-01  1.7803E-04  3.9381E-01
